"terminal","wifi_rssi","__dt"
"sparrow_16","-85","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_6","-50","2021-03-03 00:00:00.000"
"sparrow_2","-58","2021-03-10 00:00:00.000"
"sparrow_13","-75","2021-03-05 00:00:00.000"
"sparrow_1","-49","2021-03-03 00:00:00.000"
"sparrow_10","-68","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_4","-52","2021-03-03 00:00:00.000"
"sparrow_7","-51","2021-03-07 00:00:00.000"
"sparrow_10","-60","2021-03-07 00:00:00.000"
"sparrow_17","-37","2021-03-05 00:00:00.000"
"sparrow_17","-55","2021-03-07 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_13","-75","2021-03-05 00:00:00.000"
"sparrow_8","-51","2021-03-09 00:00:00.000"
"sparrow_7","-51","2021-03-11 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-86","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_7","-51","2021-03-09 00:00:00.000"
"sparrow_16","-82","2021-03-09 00:00:00.000"
"sparrow_2","-59","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_19","-73","2021-03-03 00:00:00.000"
"sparrow_16","-87","2021-03-09 00:00:00.000"
"sparrow_2","-57","2021-03-09 00:00:00.000"
"sparrow_8","-49","2021-03-09 00:00:00.000"
"sparrow_4","-53","2021-03-07 00:00:00.000"
"sparrow_16","-80","2021-03-10 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_3","-54","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_10","-61","2021-03-10 00:00:00.000"
"sparrow_3","-52","2021-03-09 00:00:00.000"
"sparrow_11","-67","2021-03-03 00:00:00.000"
"sparrow_13","-74","2021-03-07 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_11","-68","2021-03-09 00:00:00.000"
"sparrow_12","-51","2021-03-03 00:00:00.000"
"sparrow_16","-82","2021-03-07 00:00:00.000"
"sparrow_17","-38","2021-03-10 00:00:00.000"
"sparrow_18","-57","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_2","-58","2021-03-10 00:00:00.000"
"sparrow_14","-53","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_3","-64","2021-03-09 00:00:00.000"
"sparrow_13","-71","2021-03-10 00:00:00.000"
"sparrow_14","-60","2021-03-03 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-86","2021-03-09 00:00:00.000"
"sparrow_8","-69","2021-03-10 00:00:00.000"
"sparrow_16","-80","2021-03-10 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
"sparrow_8","-46","2021-03-03 00:00:00.000"
"sparrow_13","-74","2021-03-10 00:00:00.000"
"sparrow_14","-59","2021-03-09 00:00:00.000"
"sparrow_14","-59","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_10","-68","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_8","-56","2021-03-10 00:00:00.000"
"sparrow_16","-87","2021-03-09 00:00:00.000"
"sparrow_9","-62","2021-03-10 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_4","-49","2021-03-09 00:00:00.000"
"sparrow_6","-51","2021-03-09 00:00:00.000"
"sparrow_17","-51","2021-03-09 00:00:00.000"
"sparrow_13","-67","2021-03-03 00:00:00.000"
"sparrow_13","-67","2021-03-03 00:00:00.000"
"sparrow_18","-55","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_19","-77","2021-03-07 00:00:00.000"
"sparrow_12","-53","2021-03-07 00:00:00.000"
"sparrow_8","-51","2021-03-09 00:00:00.000"
"sparrow_13","-77","2021-03-05 00:00:00.000"
"sparrow_16","-86","2021-03-05 00:00:00.000"
"sparrow_10","-67","2021-03-07 00:00:00.000"
"sparrow_9","-71","2021-03-10 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-09 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_16","-86","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_16","-87","2021-03-09 00:00:00.000"
"sparrow_12","-54","2021-03-05 00:00:00.000"
"sparrow_14","-60","2021-03-09 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-09 00:00:00.000"
"sparrow_12","-55","2021-03-10 00:00:00.000"
"sparrow_9","-67","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_5","-53","2021-03-03 00:00:00.000"
"sparrow_19","-70","2021-03-09 00:00:00.000"
"sparrow_4","-48","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_14","-54","2021-03-11 00:00:00.000"
"sparrow_4","-63","2021-03-10 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_3","-63","2021-03-03 00:00:00.000"
"sparrow_11","-52","2021-03-09 00:00:00.000"
"sparrow_16","-88","2021-03-09 00:00:00.000"
"sparrow_5","-51","2021-03-09 00:00:00.000"
"sparrow_4","-56","2021-03-09 00:00:00.000"
"sparrow_3","-64","2021-03-10 00:00:00.000"
"sparrow_1","-47","2021-03-03 00:00:00.000"
"sparrow_7","-52","2021-03-11 00:00:00.000"
"sparrow_13","-74","2021-03-03 00:00:00.000"
"sparrow_16","-86","2021-03-09 00:00:00.000"
"sparrow_16","-87","2021-03-09 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_10","-59","2021-03-09 00:00:00.000"
"sparrow_10","-60","2021-03-07 00:00:00.000"
"sparrow_18","-59","2021-03-10 00:00:00.000"
"sparrow_6","-50","2021-03-10 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-09 00:00:00.000"
"sparrow_16","-78","2021-03-10 00:00:00.000"
"sparrow_16","-78","2021-03-10 00:00:00.000"
"sparrow_16","-85","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
"sparrow_19","-72","2021-03-07 00:00:00.000"
"sparrow_7","-54","2021-03-09 00:00:00.000"
"sparrow_16","-82","2021-03-10 00:00:00.000"
"sparrow_19","-69","2021-03-09 00:00:00.000"
"sparrow_2","-59","2021-03-10 00:00:00.000"
"sparrow_9","-73","2021-03-09 00:00:00.000"
"sparrow_9","-59","2021-03-10 00:00:00.000"
"sparrow_19","-80","2021-03-05 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_13","-73","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_13","-74","2021-03-07 00:00:00.000"
"sparrow_3","-53","2021-03-09 00:00:00.000"
"sparrow_4","-52","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_10","-60","2021-03-10 00:00:00.000"
"sparrow_16","-82","2021-03-07 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_4","-48","2021-03-05 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_13","-72","2021-03-05 00:00:00.000"
"sparrow_10","-55","2021-03-03 00:00:00.000"
"sparrow_17","-40","2021-03-03 00:00:00.000"
"sparrow_8","-49","2021-03-07 00:00:00.000"
"sparrow_3","-52","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-09 00:00:00.000"
"sparrow_1","-36","2021-03-09 00:00:00.000"
"sparrow_1","-58","2021-03-09 00:00:00.000"
"sparrow_16","-83","2021-03-09 00:00:00.000"
"sparrow_19","-66","2021-03-10 00:00:00.000"
"sparrow_10","-64","2021-03-11 00:00:00.000"
"sparrow_2","-57","2021-03-09 00:00:00.000"
"sparrow_13","-72","2021-03-05 00:00:00.000"
"sparrow_13","-74","2021-03-05 00:00:00.000"
"sparrow_8","-56","2021-03-10 00:00:00.000"
"sparrow_5","-50","2021-03-09 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_11","-66","2021-03-07 00:00:00.000"
"sparrow_13","-72","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_11","-70","2021-03-10 00:00:00.000"
"sparrow_8","-68","2021-03-10 00:00:00.000"
"sparrow_10","-59","2021-03-09 00:00:00.000"
"sparrow_9","-61","2021-03-03 00:00:00.000"
"sparrow_16","-79","2021-03-10 00:00:00.000"
"sparrow_17","-38","2021-03-05 00:00:00.000"
"sparrow_3","-57","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-09 00:00:00.000"
"sparrow_16","-86","2021-03-09 00:00:00.000"
"sparrow_4","-52","2021-03-03 00:00:00.000"
"sparrow_19","-70","2021-03-09 00:00:00.000"
"sparrow_11","-59","2021-03-10 00:00:00.000"
"sparrow_10","-55","2021-03-03 00:00:00.000"
"sparrow_8","-69","2021-03-10 00:00:00.000"
"sparrow_13","-73","2021-03-10 00:00:00.000"
"sparrow_8","-68","2021-03-10 00:00:00.000"
"sparrow_13","-73","2021-03-10 00:00:00.000"
"sparrow_13","-85","2021-03-05 00:00:00.000"
"sparrow_14","-51","2021-03-07 00:00:00.000"
"sparrow_16","-84","2021-03-05 00:00:00.000"
"sparrow_16","-85","2021-03-05 00:00:00.000"
"sparrow_16","-84","2021-03-09 00:00:00.000"
"sparrow_16","-80","2021-03-07 00:00:00.000"
"sparrow_17","-56","2021-03-07 00:00:00.000"
"sparrow_16","-82","2021-03-03 00:00:00.000"
"sparrow_13","-75","2021-03-05 00:00:00.000"
"sparrow_14","-65","2021-03-10 00:00:00.000"
"sparrow_5","-52","2021-03-06 00:00:00.000"
"sparrow_9","-60","2021-03-08 00:00:00.000"
"sparrow_15","-55","2021-03-04 00:00:00.000"
"sparrow_16","-83","2021-03-08 00:00:00.000"
"sparrow_4","-63","2021-03-08 00:00:00.000"
"sparrow_17","-41","2021-03-05 00:00:00.000"
"sparrow_13","-78","2021-03-05 00:00:00.000"
"sparrow_3","-65","2021-03-04 00:00:00.000"
"sparrow_10","-59","2021-03-04 00:00:00.000"
"sparrow_18","-61","2021-03-04 00:00:00.000"
"sparrow_9","-68","2021-03-08 00:00:00.000"
"sparrow_16","-88","2021-03-08 00:00:00.000"
"sparrow_7","-45","2021-03-04 00:00:00.000"
"sparrow_16","-84","2021-03-08 00:00:00.000"
"sparrow_16","-87","2021-03-08 00:00:00.000"
"sparrow_16","-83","2021-03-08 00:00:00.000"
"sparrow_16","-84","2021-03-08 00:00:00.000"
"sparrow_19","-72","2021-03-05 00:00:00.000"
"sparrow_16","-88","2021-03-08 00:00:00.000"
"sparrow_16","-79","2021-03-08 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_17","-44","2021-03-06 00:00:00.000"
"sparrow_9","-65","2021-03-08 00:00:00.000"
"sparrow_8","-50","2021-03-05 00:00:00.000"
"sparrow_4","-47","2021-03-06 00:00:00.000"
"sparrow_13","-70","2021-03-08 00:00:00.000"
"sparrow_13","-68","2021-03-08 00:00:00.000"
"sparrow_17","-53","2021-03-08 00:00:00.000"
"sparrow_16","-79","2021-03-04 00:00:00.000"
"sparrow_16","-85","2021-03-08 00:00:00.000"
"sparrow_17","-54","2021-03-08 00:00:00.000"
"sparrow_15","-69","2021-03-08 00:00:00.000"
"sparrow_19","-71","2021-03-08 00:00:00.000"
"sparrow_5","-52","2021-03-05 00:00:00.000"
"sparrow_10","-60","2021-03-08 00:00:00.000"
"sparrow_15","-52","2021-03-08 00:00:00.000"
"sparrow_8","-52","2021-03-08 00:00:00.000"
"sparrow_11","-73","2021-03-04 00:00:00.000"
"sparrow_16","-80","2021-03-04 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_16","-80","2021-03-08 00:00:00.000"
"sparrow_9","-66","2021-03-08 00:00:00.000"
"sparrow_19","-71","2021-03-08 00:00:00.000"
"sparrow_16","-87","2021-03-08 00:00:00.000"
"sparrow_19","-71","2021-03-04 00:00:00.000"
"sparrow_13","-75","2021-03-08 00:00:00.000"
"sparrow_3","-69","2021-03-08 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_16","-85","2021-03-08 00:00:00.000"
"sparrow_7","-45","2021-03-04 00:00:00.000"
"sparrow_17","-41","2021-03-04 00:00:00.000"
"sparrow_8","-49","2021-03-05 00:00:00.000"
"sparrow_10","-59","2021-03-08 00:00:00.000"
"sparrow_14","-55","2021-03-08 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_1","-54","2021-03-04 00:00:00.000"
"sparrow_15","-46","2021-03-04 00:00:00.000"
"sparrow_10","-64","2021-03-04 00:00:00.000"
"sparrow_16","-82","2021-03-06 00:00:00.000"
"sparrow_8","-51","2021-03-08 00:00:00.000"
"sparrow_18","-65","2021-03-04 00:00:00.000"
"sparrow_13","-75","2021-03-08 00:00:00.000"
"sparrow_8","-46","2021-03-08 00:00:00.000"
"sparrow_18","-61","2021-03-04 00:00:00.000"
"sparrow_7","-44","2021-03-04 00:00:00.000"
"sparrow_16","-85","2021-03-08 00:00:00.000"
"sparrow_7","-48","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-08 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_2","-56","2021-03-05 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-83","2021-03-04 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_13","-73","2021-03-06 00:00:00.000"
"sparrow_9","-64","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_10","-62","2021-03-04 00:00:00.000"
"sparrow_13","-74","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_4","-57","2021-03-04 00:00:00.000"
"sparrow_4","-56","2021-03-04 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_18","-53","2021-03-04 00:00:00.000"
"sparrow_10","-72","2021-03-05 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_12","-54","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_1","-56","2021-03-06 00:00:00.000"
"sparrow_13","-75","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_8","-50","2021-03-08 00:00:00.000"
"sparrow_3","-55","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_11","-68","2021-03-08 00:00:00.000"
"sparrow_9","-64","2021-03-06 00:00:00.000"
"sparrow_18","-61","2021-03-04 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_16","-81","2021-03-05 00:00:00.000"
"sparrow_16","-82","2021-03-05 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_14","-64","2021-03-04 00:00:00.000"
"sparrow_2","-49","2021-03-08 00:00:00.000"
"sparrow_16","-82","2021-03-08 00:00:00.000"
"sparrow_19","-69","2021-03-08 00:00:00.000"
"sparrow_1","-48","2021-03-06 00:00:00.000"
"sparrow_19","-68","2021-03-08 00:00:00.000"
"sparrow_6","-52","2021-03-08 00:00:00.000"
"sparrow_9","-63","2021-03-08 00:00:00.000"
"sparrow_7","-48","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_16","-83","2021-03-08 00:00:00.000"
"sparrow_9","-65","2021-03-05 00:00:00.000"
"sparrow_9","-67","2021-03-05 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_19","-71","2021-03-06 00:00:00.000"
"sparrow_12","-52","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-80","2021-03-05 00:00:00.000"
"sparrow_16","-81","2021-03-04 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_17","-49","2021-03-08 00:00:00.000"
"sparrow_16","-85","2021-03-08 00:00:00.000"
"sparrow_15","-61","2021-03-05 00:00:00.000"
"sparrow_16","-89","2021-03-08 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_7","-48","2021-03-05 00:00:00.000"
"sparrow_12","-54","2021-03-05 00:00:00.000"
"sparrow_13","-77","2021-03-08 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-06 00:00:00.000"
"sparrow_14","-43","2021-03-06 00:00:00.000"
"sparrow_1","-57","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_8","-54","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_18","-57","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_7","-56","2021-03-06 00:00:00.000"
"sparrow_12","-53","2021-03-08 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-87","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_12","-56","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_1","-70","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-08 00:00:00.000"
"sparrow_11","-68","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_16","-82","2021-03-04 00:00:00.000"
"sparrow_16","-83","2021-03-06 00:00:00.000"
"sparrow_16","-84","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_16","-80","2021-03-04 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_16","-83","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-72","2021-03-06 00:00:00.000"
"sparrow_8","-45","2021-03-04 00:00:00.000"
"sparrow_16","-85","2021-03-06 00:00:00.000"
"sparrow_13","-75","2021-03-06 00:00:00.000"
"sparrow_7","-54","2021-03-06 00:00:00.000"
"sparrow_13","-76","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_16","-86","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-71","2021-03-06 00:00:00.000"
"sparrow_11","-69","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
"sparrow_11","-70","2021-03-06 00:00:00.000"
